number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_units_l0,params_n_units_l1,params_n_units_l2
163,0.3108030786450699,452,0.3356584065232041,0.12776298521953663,0.41889727160821516,0.00047959336058122086,800,2016,1696
231,0.31229029089798577,216,0.1520233129329614,0.10875351662394908,0.2615557255450217,0.00036351021430617295,992,2080,1568
162,0.31695598638448313,390,0.11018901141943686,0.12625981296041358,0.15705312502215946,0.0004747029924738128,800,2016,1888
33,0.3281871404653994,467,0.15317231551870608,0.14788875940480567,0.21408514603133774,0.0003000695946542533,864,1568,1632
7526,0.3300810019494355,635,0.10447140255087677,0.1258913050009393,0.10952884442050148,0.0002063598441613213,1056,1824,928
8965,0.3339694056255751,607,0.14631005750391948,0.3496828965847893,0.4890149813512995,0.0004489506330535639,1056,1952,1760
2327,0.3391866367827704,688,0.11935000170687861,0.42532805206946056,0.2934309356314173,0.00043251987452527134,864,1248,1888
8902,0.3402997339041428,626,0.15233469789206822,0.4179231361764869,0.46464572969934703,0.0005280781660525732,992,1888,1760
8896,0.3431037168935321,631,0.16042542526804,0.3793463476923881,0.4417152770803932,0.00033921379751955825,992,1888,1760
7,0.3450012741529968,481,0.11190928868306314,0.1341734924517394,0.1771312393987667,0.0003728515014264317,1888,1376,1376
9839,0.34545308074845144,515,0.16582739217370446,0.11965705970494704,0.387419806993536,0.0003584866134002876,992,1888,736
886,0.3485135316433641,253,0.16792873269480696,0.328821901360567,0.3184793169594946,0.000505727804069118,1120,1888,1824
0,0.34909484626980175,630,0.24814671353200302,0.11350304863967375,0.44704320037861844,7.318920289913161e-05,1760,2144,864
7991,0.3526316378386909,510,0.2130374276386543,0.1367729239526751,0.14315048821617848,0.0002108913921775503,1184,1824,1632
202,0.35882980336325426,405,0.152587641776423,0.10292822383959775,0.2635291392480726,0.0005634299198672926,928,1504,1888
5,0.3602894615972376,423,0.2545832704580448,0.22203084050375715,0.23423263897471144,8.427261933481322e-05,1312,1696,736
8,0.36217821646414927,279,0.21693405897294432,0.10958826365513098,0.2689572731253539,0.0003103112839522668,1184,1440,1952
7769,0.36287380796172364,513,0.16233022087588578,0.3344926496058162,0.10011855637933496,0.0003118455226005174,1184,1888,1824
6992,0.3631590173033456,446,0.11519288586442059,0.12957801467879043,0.1756615072293708,0.0003337869201754395,736,1504,864
5357,0.36667135275760304,459,0.15305349815576946,0.13810825922501854,0.15680851683839625,0.0007781277656535858,480,1824,1824
9135,0.3673743522414851,632,0.13241819186119416,0.13293756017634392,0.22243150210878873,0.00042189413950421506,992,1888,544
45,0.36849717749213495,208,0.22571375251174292,0.13158659986915539,0.27131570920790243,0.00025540333979294207,544,1952,1312
361,0.3692852726937033,280,0.2049733436401658,0.44021320062595104,0.27007044369589794,0.0004677249191279078,544,2016,1760
7717,0.3712575355287489,531,0.11696779607906874,0.3660490162994232,0.10253711508463645,0.00047900245836589344,864,2080,1760
147,0.3752874068638647,393,0.15052285832665252,0.11048473132126437,0.25982709602690174,0.00029596142517911866,992,1696,672
3639,0.3787796691697596,405,0.17566789152466175,0.25740455446753213,0.21286814602989354,0.0005636267341673003,928,1888,800
94,0.37881476151054877,169,0.19968415061859177,0.10038288480707001,0.24066469041630933,0.0003062932437843923,1184,1760,2144
876,0.3817180548990348,273,0.18001940653985135,0.22185552869368694,0.24784238841242145,0.0005222709125433661,1056,1888,1760
75,0.3853598076737292,468,0.180803272267361,0.21520276166177424,0.3029025967072617,0.00035784437529302394,1568,1568,864
7062,0.38555004185598896,437,0.17106510001770273,0.18248959475421495,0.2619566181680528,0.0003210000859756854,1696,1504,992
101,0.3855654257439676,496,0.15564811986566315,0.12383367145609579,0.19215592410948515,0.00024286293130939063,1248,1760,1952
32,0.38587880029212945,175,0.23019740226596883,0.1111767471304047,0.2589129934472489,0.00034472814114986245,1120,1376,1952
141,0.3870684481139812,395,0.11975909917374052,0.12738987120450698,0.16862109490959365,0.00042334170303496383,864,2080,928
25,0.3900159884478847,304,0.19643826317707286,0.20879564960583752,0.275401905873434,0.00013723583447903555,1568,1824,736
4763,0.39195940630460324,425,0.11060405729734546,0.10000624050432103,0.3136065468252101,0.0002199204962799887,608,1760,1824
1914,0.3928351473528468,200,0.195158213254507,0.2669335188119982,0.32527626992321024,0.00037856867105657367,800,2144,1440
191,0.39344093509006295,388,0.15764064976783462,0.10019940059460594,0.1764340035823591,0.0006781236443523642,992,1632,1696
5085,0.39487068073912573,649,0.14676382918621417,0.4302782478920168,0.22179080379505042,0.0003566607075150613,800,1952,1888
767,0.39556810827034933,283,0.11375948082914505,0.3028952034092575,0.23940875417103083,0.0004538076411418284,992,1568,1824
1344,0.39713458497210785,482,0.16193982169398866,0.1154623303169552,0.2989482572530523,0.00032821681256576613,1056,1568,1824
3,0.3981872704275382,217,0.38470762594006985,0.4495221136574783,0.20910351353741394,0.00022734322494409433,1376,1632,1888
52,0.40205209547277665,129,0.2358461688099663,0.10679258288628576,0.2682731798459999,0.00028784279516630873,544,1952,1376
109,0.40288026640670405,185,0.15224048273118138,0.12285623265432045,0.2186731022683246,0.0002912317540434724,1440,1632,1824
742,0.4037365548816131,328,0.12404550766397346,0.2303852396206234,0.25234317047269067,0.000428153122460677,1376,1696,864
1136,0.4096883309809561,389,0.13916268785853944,0.3144289958214318,0.2731214471987278,0.0005790112492151659,992,1696,1888
4306,0.4101374181705295,170,0.112791648327692,0.14341156611577463,0.3902010000955696,0.00043815125876398806,1248,2016,864
37,0.41031485782366334,395,0.11351064724272064,0.11993636252162235,0.16249888646810828,0.0002809613880321796,864,2016,864
43,0.41053116798634587,391,0.160311011415369,0.10123781516353755,0.18055092699323697,0.0006897966112431513,992,1568,1760
98,0.4145025112759416,145,0.18418867112400303,0.11486110135991409,0.24399168892275852,0.0003238093362204314,1888,1632,1568
4029,0.41570744327752746,434,0.10008077023211723,0.1891546058645157,0.498352912270274,0.0004279223397404802,800,1056,1632
154,0.417520311133911,207,0.15175783346746874,0.11054245295607878,0.26420114220410396,0.00035256084231374965,992,2080,1504
6603,0.4268854934276105,247,0.10638194359451343,0.3095528314804735,0.3877183029598476,0.00042432520559763687,800,1440,1440
64,0.42768249970420885,197,0.2880536694420271,0.11441015180243222,0.2271814088249502,0.00037327159928004247,1056,1376,1696
1944,0.43142496013179576,165,0.1540412717449412,0.12342515320313846,0.33305727651380734,0.00036898977349164537,736,1312,2144
234,0.4317326892191246,179,0.13887200251448295,0.3321116051553558,0.2410905512716707,0.0003819946607003691,992,2144,1376
12,0.4318673247565872,549,0.1469181813770513,0.14961697066162552,0.4971714404204745,0.0008656794235944155,2144,2144,1376
344,0.4820551556828249,165,0.13149194410693163,0.14872322814325642,0.27322298591739413,0.00036644918697313004,1248,1952,1952
1,2.6324364597869874,651,0.3014650181443022,0.12571692112971686,0.24192002343616448,0.00577349749861259,928,928,992
4,38457.70195529514,426,0.11623543995317122,0.2411543926857566,0.15273243345877785,0.01265355999016474,2080,800,1696
2,12600619.385925926,469,0.1492256068753138,0.1536991000841743,0.15169523559324388,0.01970432180583368,1824,736,928
