number,value,params_EPOCHS
4696,0.26617012576735827,101
1269,0.2853809342962362,344
584,0.2906637072854159,134
504,0.2906741993361552,434
1125,0.29304424382801025,406
1928,0.29411660552536784,415
2974,0.3038610925022393,408
1,0.30448202472622243,291
7,0.3045735620418826,463
5,0.3064797277231463,157
2,0.3077066558069826,588
519,0.3166433225487887,263
4,0.3184013726789687,370
2787,0.32090393654334826,545
2402,0.3222499861921657,342
6,0.32430551497649335,432
5304,0.32563962731068835,535
0,0.33597621648866693,520
11410,0.33752886869748966,237
3,0.34827769852682616,312
