number,value,params_EPOCHS,params_dropout_l1,params_lr,params_n_units_l1
4149,0.4537384284352157,443,0.11593172783130093,0.0013315216504271763,2080
5094,0.4615599869458489,401,0.19542523316649732,0.0007673263626483264,2016
1464,0.4636525667228237,576,0.1320543874656825,0.0017618887690503972,2080
3245,0.4649942629732528,630,0.15603117465137922,0.000959846814168573,2080
86,0.46998523934285624,406,0.3064148899209018,0.0020149392408255807,1184
1471,0.47410380892803916,586,0.10304789393781047,0.0017946179326781097,2080
6778,0.4816390544695288,591,0.14070496825412812,0.0023825139955915013,1120
7510,0.483896696932042,451,0.13994217467986497,0.0019466073207348134,2144
3309,0.487612269642196,601,0.15890656673377887,0.0012949215257799873,2016
7559,0.4886979952034843,466,0.15762889096957777,0.0014958548052603775,2144
129,0.48879013982461605,594,0.367870825674541,0.000729213943778761,1376
1463,0.4901340052402318,537,0.11126738349624254,0.0025387103984420463,2080
4079,0.49064126961717835,439,0.10543648475242336,0.001407328082071593,2144
5068,0.4917599134279603,405,0.19405991072302567,0.001031225346240518,2016
5872,0.4940924329042779,457,0.14437554199975325,0.00137120892397776,2144
2767,0.4945969566035452,394,0.12757142471317878,0.0014600935499264533,1120
7938,0.4960246562937876,437,0.11961681889546147,0.0018191283184923281,2080
7610,0.49677415739372244,494,0.15194976226850868,0.002364578515126122,2144
7576,0.49827206079663494,450,0.1654118815955633,0.0016288995728853514,2144
4510,0.5014681482921407,385,0.12536194003129486,0.0009417463835043013,2080
1510,0.501709175952856,552,0.13793662282537864,0.0011838103132623158,2144
2651,0.5024052460218449,655,0.110088544697641,0.0010880105013211028,608
780,0.5036849159831851,438,0.1376420681383157,0.0011494859053756312,1248
206,0.5039287663348851,471,0.31362006546351295,0.001256188025353615,672
1972,0.5044008589221562,456,0.20699052590916706,0.0022763431227842803,1376
5276,0.5057186070782586,385,0.13642598120009353,0.0011021373043065478,2080
6665,0.5077664218915137,616,0.14156080669562374,0.00283095825634532,1504
9039,0.5078930201056453,449,0.14271611508878723,0.0016010134003698994,2144
8610,0.5094007925549552,437,0.15830184373429176,0.001324552751142907,2080
6635,0.511375102826077,620,0.1299547112446575,0.0015186345606321703,2080
54,0.5114204323224547,351,0.36525837745917505,0.0006721114673517146,1184
19,0.5116926795244541,429,0.29393885369200773,0.000817410401481947,864
278,0.5118665356670937,328,0.2519499990226195,0.0019529461428294459,2016
856,0.511996741558325,444,0.14058573782589961,0.0025718667879621117,736
9554,0.5134675427264133,375,0.16356835307355871,0.002180432132498643,2144
3725,0.5151783213638974,408,0.20302659019285296,0.0011867073044639857,1312
4063,0.5157209927615501,436,0.11156651084645958,0.0019409037144330018,1184
1269,0.5158915894322847,379,0.11101726040923952,0.0018743259811513987,1376
2120,0.5210707003497831,416,0.26131084438632185,0.001935975339051716,1376
7941,0.5215335689351809,443,0.11999634499039204,0.0021285024652914924,2144
2565,0.5244082964192623,653,0.1034558885311024,0.0016507708491880968,2080
1954,0.5266170192928271,396,0.1454398318616411,0.0016440610697003978,1440
918,0.5267361436937766,423,0.16144225596251074,0.0018829854764836882,1184
4064,0.5301870836968037,441,0.11176355695137424,0.0016419740613523622,2080
584,0.5308781945733965,644,0.22653376955765978,0.0020975124649325726,992
4132,0.5323483549772196,410,0.14430700092036386,0.0017744808628106057,1504
2258,0.5346730114913997,572,0.12233681853105814,0.0026289071785601903,1184
1124,0.5360553879738144,442,0.13910133850711678,0.0018630246314532918,1184
1033,0.5362418629970034,364,0.31779104952300563,0.0018730255425161556,2080
765,0.537498368202906,450,0.23874445279381679,0.0013191427506224441,1184
958,0.5391444550794676,434,0.15437493839589586,0.0017864569362102,1184
3,0.5396571490999075,443,0.30235474608488216,0.0011250505258379364,2080
3385,0.5400826604508526,633,0.11402501038523885,0.002752587007482319,416
5563,0.5431582535757029,417,0.2099904355263513,0.0017802771868042334,2080
314,0.5433132160019738,291,0.16037677354715274,0.001497393800883309,992
6849,0.5441606968477778,593,0.16749882771385216,0.0031571622102901102,1184
1486,0.5490891133633694,608,0.13922024803392907,0.001865405430260223,2144
6,0.549631079114088,397,0.34536699579590185,0.0014045844388843498,800
8282,0.5501815996836753,572,0.1569266740927889,0.001926141264002201,2080
4613,0.5535237234355116,358,0.12552819502708729,0.002631290515915154,2080
708,0.5539390502270682,408,0.26405387206665426,0.0017691326472690503,1312
61,0.5555465064476522,408,0.34862800393533017,0.001609702856430211,992
7958,0.5563883381491576,456,0.11403245437282673,0.0017882501323105973,2080
4108,0.5605284454155777,467,0.10025607262404886,0.001769304937402658,2080
741,0.5638410522357272,455,0.10036584340299129,0.0022730413743112655,672
862,0.5661309289743858,447,0.15027626668328142,0.0022757853771237773,1248
11,0.566472238880717,403,0.49130713735046605,0.001036942470863943,1184
1193,0.5728006763562951,453,0.2100070342688637,0.002201215060570344,1312
868,0.5729309531738936,423,0.1559612794254014,0.0026115182778603256,1184
428,0.5779026793304668,407,0.14558702256032555,0.0022692601699613787,864
71,0.5818657084500555,568,0.3491180589747828,0.0016755925142023305,1120
37,0.5854417877185717,339,0.45912309861865946,0.0020750756839277027,1056
12,0.5880109530816913,490,0.3563672199982514,0.0021197212508273825,992
9,0.5891130300048018,166,0.198870575260243,0.003092666416818763,672
771,0.5905870953114306,448,0.134194144630376,0.0017873029562571786,1248
1243,0.5981530747473066,229,0.3855284855705611,0.0009452135807513087,1440
2208,0.6062955210392509,363,0.11225997695589733,0.0017729931701557862,1504
4340,0.6071370528972464,425,0.147740352766914,0.002056060815278438,2080
2007,0.6076828921696303,437,0.20210802279429146,0.0019979881021007532,1504
51,0.6117256023283268,522,0.35133090966526304,0.0017353312317169712,1056
88,0.6156482807591079,354,0.25155551251977126,0.0020434205399058893,1248
1303,0.6234730958688589,395,0.27400833895998533,0.0016732699973817785,1248
279,0.62477323071137,473,0.25055309562788636,0.001900530672040518,736
1265,0.6298782398335296,456,0.1323008927066691,0.0016856586773850218,1184
859,0.6359623898053036,444,0.13735527602453773,0.0024308705333753347,1056
1,0.6829466874028596,677,0.11973427229100608,1.4147297704404608e-05,736
293,0.7122996592489145,328,0.3176961286532377,0.002569381002506387,1056
296,0.7147084804793155,307,0.3242229759378671,0.0026120410430604288,1056
14,0.7725381530322698,446,0.1857676615207423,0.004575634867625251,2144
4,1.0443905480714566,584,0.2617561674520991,0.0815069504226732,1888
0,1.9593849780048618,683,0.2596506924178085,0.04658346041924864,1568
2,514.7523465078848,223,0.2549055031608105,0.09690961994279851,1760
