number,value,params_EPOCHS,params_lr
10411,0.2747844176749334,301,0.0005614428009638808
697,0.2763062498796144,231,0.0003942147018632996
1078,0.27679975105615456,409,0.0001816883732567315
2174,0.28447399177284044,689,0.00034558418509298403
2056,0.28467490201442736,199,0.00025454030068628597
8,0.28686122996699553,220,9.818814697830376e-05
1271,0.2869757226506763,273,0.0005409888239834127
3682,0.29044273117215846,233,0.0003114060100545907
587,0.2910455821316228,210,0.00043300594803200845
10534,0.2910615490487453,700,0.00040817676716943345
2038,0.291115466277591,289,0.0003674187290714021
64,0.2914230263026147,275,0.0004281404173241329
103,0.291606515010048,206,0.00036715658599991905
4,0.29266527547791427,690,1.702387762779476e-05
602,0.2934876595126676,306,0.0002730219402603187
51,0.2939125777770791,555,0.00028434939275460676
10838,0.29410598989564246,675,0.0005732262583779728
8708,0.294272964671781,292,0.0003284172219040898
3745,0.2964117188561233,686,0.00040347263833513935
47,0.2976051083918466,640,0.00030923401057926454
272,0.2979524449955922,590,0.00033071494102951133
3394,0.2981499186630555,580,0.0010346847120752518
1847,0.29876646322597616,262,0.00025403597150406654
226,0.3006639028398055,294,0.0004557561058003639
69,0.30140139779530123,278,0.00020974825046228952
1736,0.3014605359903645,295,0.0008313231745356897
2899,0.302172983579615,336,0.0001790782438219552
1336,0.30259758573728784,267,0.00048682186026031027
882,0.30263930819663004,628,0.0003170740697868542
2950,0.3029016664416984,234,0.0005839531291935273
382,0.3035591963622766,278,0.000333915163165501
4055,0.3053991622064853,214,0.000498544263040244
807,0.3059307144753398,233,0.0004372750583110573
4498,0.3067323791240237,243,0.0002465827919428728
2506,0.30796069918865043,279,0.0006998838514668524
34,0.30875435622081937,290,0.0002560243471210014
2618,0.30923299044082714,226,0.0006728603325673589
7522,0.3096361999122231,682,0.00032651093261858795
1815,0.30966918850182384,162,0.0003431305066285312
2,0.3100146211701189,311,0.0003462973663855804
144,0.3100946860192916,700,0.00038882537691965215
256,0.31076710210121306,365,0.0008025769215896168
1287,0.3139701688519162,285,0.0006443541115099182
3760,0.31438769624316704,261,0.00022056433250975378
5,0.3147439864249194,108,0.00042993823551139374
66,0.3258464034910277,275,0.000478353600110951
3,0.32715356631203,611,0.0031591321429593477
74,0.3357991119215637,364,0.0005205639795385525
63,0.339452112545097,218,0.00010486597669919185
6,0.34331142117282004,470,2.1291226642488167e-05
81,0.3441843994215843,163,0.0007686273236837225
1,0.3511405579936133,485,1.5611395210664294e-05
0,0.451883365295354,302,0.006917215437943016
