number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_n_units_l0,params_n_units_l1
4,0.26529930183628897,351,0.2500570742699755,0.10414636619085921,1952,864
0,0.26752895817558126,268,0.4021064469436714,0.3416460684326045,1760,608
2,0.2695523095886933,652,0.13322019443699964,0.19289573180531563,1952,928
1,0.2719114922760033,354,0.44258178724628777,0.27709276375809266,352,480
2426,0.27648890714214286,97,0.12098886498996382,0.25320644418241056,1824,1696
129,0.2839352079672709,91,0.15012925131693577,0.10642269423739843,608,480
53,0.288359671302214,102,0.16205666656096146,0.10191382494797707,992,608
1775,0.2892232609008183,117,0.12301992838149471,0.12725773735634746,1952,1760
4091,0.28960695842260703,91,0.14052314330158275,0.22455778434639817,1952,1504
57,0.290034163278809,96,0.17075556279560328,0.11441579087911778,800,480
85,0.29181938696463655,108,0.14416636964388124,0.10345885834826359,1952,352
2534,0.29340899288265504,152,0.11645589274403356,0.12860178072903036,1952,672
1161,0.2966987825385086,138,0.134326313061417,0.10624337884392518,1888,1248
52,0.29747262422057785,81,0.16875968774440803,0.10022395935833682,1120,544
749,0.2976196028995003,79,0.1601533637938733,0.10015276954162605,1632,672
7572,0.2978651584935623,101,0.1483860699803719,0.11416833834144806,1888,1824
144,0.30026465814823966,76,0.18529302383843427,0.12490119202511368,1696,1184
4145,0.30030114143702324,105,0.13825564037684224,0.2144851719561447,1888,1760
4768,0.300940602572768,80,0.13194203202582222,0.11944497396325095,1888,608
9962,0.30385297746790063,94,0.13096458028843286,0.11019925177795603,1952,480
7045,0.30720685264456027,80,0.11550553673268708,0.2418619833154094,1632,1632
206,0.30752185516835734,107,0.15828827883901772,0.11220424165884822,1952,736
6,0.31309647620875525,116,0.1168254534888888,0.10209487005925129,1440,1824
73,0.3131495446754441,74,0.15609009528957507,0.11869446549376408,1824,480
1762,0.31455287778193636,125,0.12158661451135137,0.11263663847594768,1952,1696
1046,0.3202752541732601,87,0.10006288878754363,0.11556716908502548,1952,480
44,0.3209660345616642,78,0.1803600803007983,0.11185010058383105,1248,352
7806,0.32480914957695284,74,0.10909605366790281,0.27404456468631777,1952,1824
9818,0.3256394570470302,79,0.1393768346768619,0.12263775181034833,1824,1760
3,0.3266672274738384,117,0.3960050368279049,0.3661375524064352,1952,1440
82,0.32758663629689655,76,0.16694925711834513,0.11846091436111277,1888,480
844,0.33121715840273347,76,0.10488142109929297,0.1819107551457712,1760,608
8228,0.3315611743021549,69,0.1757702229492652,0.12596557269790776,1952,736
4526,0.33266044101179565,84,0.1295886873489092,0.16628869142768224,672,1504
4156,0.3347531692783785,105,0.14516617871275989,0.25233966001273345,1888,1760
7085,0.3354345385969679,80,0.10751405933031931,0.10620372964509829,1568,1696
7467,0.34310515811721987,72,0.14614391781589953,0.12039415425003692,1248,672
83,0.34834646723613366,134,0.15890926090409954,0.11149784490674991,1760,1184
41,0.3701596035230604,63,0.11780877211479801,0.10153114373244436,1504,1440
2148,0.37297969616938853,70,0.11986009790643247,0.10581413831234926,1888,1824
